oid,traffic_sign_id,traffic_sign_code,traffic_sign_text,status,traffic_sign_source,traffic_sign_sector,status_date,last_update,date_import
#14,1007057,439,מקום המתנה לפריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#15,1007122,439,בתוקף בימים א' עד ה' משעה 08:00 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,25/12/2017,19/07/2018,22/12/2022 0:51
#16,1007328,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"",  ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל כלי רכב ו' וערבי חג מ- 13:00  עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#17,1007299,439,10.1 מותרת פריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#18,1007301,439,10.2 מותרת פריקה  וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#19,1007350,439,מותרת פריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#20,1007356,439,פרט לפריקה וטעינה,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#21,1007374,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"",  ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל  כלי רכב ו' וערבי חג מ- 13:00 עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#22,1007415,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל  כלי רכב ו' וערבי חג מ- 13:00 עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#23,1007444,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"",  ""מסחרי"" ו""אחוד""  בלבד. החניה מ ותרת לכל כלי רכב ו' וערבי חג מ- 13:00  עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#24,1007446,439,בתוקף א'-ה' מ- 08:00 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#25,1007342,439,"פרט לפריקה וטעינה לכלי רכב המוגדרים ברישיונם ""משא"" ""מסחרי"" ו""אחוד"" בלבד. החניה מותרת לכל  כלי רכב  ו' וערבי חג מ- 13:00 עד 24:00 במוצ""ש ומוצאי חג",קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#26,1007348,439,מותרת פריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#27,1007354,439,מקום המתנה  לפריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#28,1007358,439,בתוקף א'-ה' מ- 08:00 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#29,1007369,439,בתוקף בימי א' עד ה' מ- 08:00 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#30,1007388,439,בתוקף  בימי א'- ה'  מ- 08:00 עד 15:00 פריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#31,1007393,439,מותרת פריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#32,1007422,439,מותרת פריקה וטעינה בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#33,1007425,439,מותרת פריקה וטעינה  בלבד,קיים,סקר יזום,פריקה וטעינה,25/12/2017,26/12/2017,22/12/2022 0:51
#34,1008176,439,"מותרת פריקה וטעינה רציפה 18 מטר לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" הלבד בימי א' עד ו' מ 09:00 עד 12:00 ביתר השעות מותרת חנינה לכל סוגי רכב",קיים,סקר יזום,פריקה וטעינה,08/01/2018,09/01/2018,22/12/2022 0:51
#35,1012245,439,"מותרת פריקה וטעינה רציפה בתוקף 12 מטר בימים א'-ה' משגה 09:00 עד 18:00 בימי ו' משעה 09:00 עד 13:00 לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו""אחוד""",קיים,סקר יזום,פריקה וטעינה,22/03/2018,31/03/2019,22/12/2022 0:51
#36,1036286,439,פרט לפריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#37,1037116,439,בתוקף  בימים א' עד ה' משעה 08:00 עד 17:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#38,1037132,439,פרט  לפריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#39,1037363,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"" ""מסחרי"" ו""אחוד"" בלבד בימים א' עד ו' יגרר רכב חונה בניגוד לחוק",קיים,סקר יזום,פריקה וטעינה,23/07/2018,12/05/2019,22/12/2022 0:51
#40,1037697,439,"מותרת פריקה וטעינה רציפה 12 מטר לכלי רכב המוגדרים ברישיונם ""משא"" ""מסחרי"" ו""אחוד"" בלבד בימים א' עד ו' מ-10:00 עד 14:00  ",קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#41,1037718,439,6 מטר מותרת רק פריקה וטעינה לרכב דואר ישראל,קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#42,1037745,439,"בתוקף 25 מטר  מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' - ה' משעה 09:00 עד 15:00 רכב חונה בניגוד לחוק יגרר ביתר השעות מותרת חניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,23/07/2018,14/05/2019,22/12/2022 0:51
#43,1037807,439,"בתוקף 12 מטר  מותרת פריקה וטעינה רציפה  לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחר"" ,ו""אחוד"" בלבד בימים א' - ה' משעה 07:00 עד 19:00 רכב חונה בניגוד לחוק יגרר ביתר השעות מותרת חניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,23/07/2018,29/07/2018,22/12/2022 0:51
#44,1042550,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי""  ו""אחוד"" בלבד בימי א - ה מ-08:00 עד 15:00 ו וערבי חג  מ-09:00 עד 13:00 רכב החונה בניגוד לחוק יגרר ביתר הימים והשעות  מותרת החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,02/08/2018,02/08/2018,22/12/2022 0:51
#45,1042973,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד בימי א-ה מ-08:00 עד 15:00 ו' וערבי חג מ-08:00 עד 13:00 רכב החונה בניגוד לחוק יגרר ביתר הימים והשעות מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,02/08/2018,02/08/2018,22/12/2022 0:51
#46,1047242,439,24 מטר פרט לפריקה וטעינה בימי א' עד ו' מ-08:00 עד 15:00,קיים,סקר יזום,פריקה וטעינה,08/08/2018,09/08/2018,22/12/2022 0:51
#47,1047593,439,"מותרת פריקה וטעינה רציפה לכלי רכב  המוגדרים ברשיונם  ""משא"",  ""מסחרי"" ו""אחוד""  בלבד בימי א' עד ה' משעה 08:00 עד 14:00 בימי ו' וערבי חג מ 08:00 עד 12:00 רכב החונה בניגוד לחוק-יגרר ביתר השעות מותרת החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,08/08/2018,09/08/2018,22/12/2022 0:51
#48,1047756,439,"מותרת פריקה ועינה רציפה 9.5 מטר  לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד בימים א' עד ה' מ-07:00 עד 15:00 ו' מ- 07:00 עד 13:00 רכב חונה בניגוד לחוק יגרר ביתר השעות והימים מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,08/08/2018,09/08/2018,22/12/2022 0:51
#49,1047915,439,12 מטר פריקה וטעינה מותרת רק בימי א'-ה' משעה 07:00 עד 17:00,קיים,סקר יזום,פריקה וטעינה,08/08/2018,09/08/2018,22/12/2022 0:51
#50,1048081,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' עד ה' משעה 07:00 - 17:00 ו' וערבי חג 07:00 - 13:00 רכב חונה בניגוד לחוק מותרת החניה לכל סוגי הרכב בשאר הימים והשעות",קיים,סקר יזום,פריקה וטעינה,08/08/2018,09/08/2018,22/12/2022 0:51
#51,1048745,439,23 מטר בתוקף בימים א' - ה' מ-07:00 עד 17:00 ו' וערבי חג מ-09:00 עד 13:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,08/08/2018,04/06/2020,22/12/2022 0:51
#52,1052600,439,"בתוקף 12 מטר  מותרת פריקה וטעינה רציפה  לכלי רכב המוגדרים ברישיונם  ""משא"" ""מסחרי"" ו-""אחוד"" בלבד בימים א' עד ה' מ- 09:00 עד 11:00 ומ- 14:00 עד 16:00 רכב חונה בניגוד לחוק יגרר ביתר השעות אסורה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#53,1052747,439,"12 מטר מותרת פריקה וטעינה רציפה לכל רכב המוגדרים ברישיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד בימים א' עד ה' משעה 09:00 עד 17:00 בימי ו' משעה 09:00 עד 13:00 רכב חונה בניגוד לחוק יגרר ביתר השעות והימים מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#54,1052760,439,בימי א'-ה' בשעות: 08:00 עד 17:00 ביום ו' ובערב חג  בשעות  0800 עד 13:00 פריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,14/04/2019,22/12/2022 0:51
#55,1052852,439,"בתוקף 12 מטר מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד בימי א-ה מ-09:00 עד 15:00 ו' וערבי חג מ- 09:00 עד 13:00 רכב החונה בניגוד לחוק יגרר ביתר הימים והשעות מותרת החניה לכ סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,03/10/2018,14/03/2019,22/12/2022 0:51
#56,1052937,439,בתוקף בימי חול בימים א'-ה' מ-08:00 עד 17:00 בימי ו' מ-08:00 עד 13:00 ריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#57,1053057,439,בימים א' עד ה' משעה 08:00 עד 17:00 ביום ו' וערבי חג משעה 08:00 עד 13:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#58,1053110,439,"בתוקף 12 מטר מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד בלבד בימים א' עד ו' משעה 08:00 עד 12:00 רכב חונה בניגוד לחוק יגרר ביתר הימים והשעות מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#59,1053126,439,"בתוקף 12 מטר מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו-""אחוד"" בימי א' עד ה' מ-09:00 עד 15:00 רכב חונה בניגוד לחוק יגרר ביתר הימים והשעות מותרת החניה  לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#60,1053277,439,"מותרת פריקה וטעינה לכלי רכב המוגדרים ברישיונם ""מסחרי"", ""משא"" ו-""אחוד בלבד בימים א' עד ה משעה 08:00 עד 17:00 רכב חונה בניגוד לחוק - יגרר בשאר הימים והשעות החניה מותרת לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,03/10/2018,12/03/2019,22/12/2022 0:51
#61,1053383,439,"בתוקף 11 מטר מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' עד ו' משעה 08:00 עד 17:00 רכב חונה בניגוד לחוק יגרר החניה מותרת לכל סוגי הרכב בשאר הימים והשעות",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#62,1053460,439,בתוקף בימים א' עד ה' בשעות: מ 08:00 עד 17:00 בימי ו' וערבי חג בשעות: מ 08:00 עד 13:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#63,1053637,439,בימי א'-ה' מ 08:00 עד 17:00 ביום ו' וערבי חג מ 08:00 עד 13:00 פריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,11/03/2019,22/12/2022 0:51
#64,1053724,439,בתוקף בימי חול מ 07:00 עד 17:00  ביום ו' ובערבי חג מ 08:00 עד 13:00 פריקה וטעינה מותרת 12 מטר,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#65,1053784,439,12 מטר בתוקף א' עד ה' משעה 08:30 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#66,1054169,439,"בתוקף 12 מ'  מותרת פריקה וטעינה רציפה לכלי רכב  המוגדרים ברשיונם  ""משא"", ""מסחרי""  ו""אחוד"" בלבד בימי א-ה  מ09:00   עד 15:00 ו' וערבי חג מ- 09:00 עד 15:00 רכב החונה בניגוד לחוק יגרר  ביתר הימים והשעות מותרת החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#67,1054182,439,בתוקף 12 מטר  בימים א' ה' 07:00 עד 17:00  פריקה וטעינה מותרת ,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#68,1054269,439,בתוקף 12 מטר בימים א' עד ה' משעה 08:00 עד 17:00  פריקה וטעינה מותרת ,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#69,1054407,439,בתוקף בימים  א' עד ה' משעה 08:00 עד 17:00 פריקה וטעינה  מותרת ,קיים,סקר יזום,פריקה וטעינה,03/10/2018,04/10/2018,22/12/2022 0:51
#70,1056553,439,"מותרת פריקה וטעינה רציפה 12 מטר לכלי רכב המוגדרים ברישיונם ""מסחרי"", ""משא"" ו-""אחוד"" בלבד בימים א' עד ה' משעה 08:00 עד 17:00 רכב החונה בניגוד לחוק-יגרר ביתר השעות והימים מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,04/10/2018,04/10/2018,22/12/2022 0:51
#71,1056752,439,"בתוקף 12 מ' פריקה וטעינה רציפה מותרת לכלי רכב המוגדרים ברישיונם  ""משא, ""מסחרי"", ו""אחוד"" בלבד בימים א'-ה'  משעה 08:00 עד 12:00 ביתר הימים והשעות  מותרת החניה לכל סוגי הרכב",קיים,סקר יזום,פריקה וטעינה,04/10/2018,04/10/2018,22/12/2022 0:51
#72,1056821,439,בתוקף 12 מ' א-ה' מ-08:00 עד 14:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,04/10/2018,08/09/2019,22/12/2022 0:51
#73,1056859,439,12 מטר בתוקף א' - ה' משעה 07:00 עד 17:00 פריקה וטעינה מותרת ,קיים,סקר יזום,פריקה וטעינה,04/10/2018,04/10/2018,22/12/2022 0:51
#74,1056904,439,12 מטר בתוקף  א' - ה' מ-08:00 עד 16:00 פריקה וטעינה  מותרת ,קיים,סקר יזום,פריקה וטעינה,04/10/2018,04/10/2018,22/12/2022 0:51
#75,1059741,439,בתוקף משעה 07:00 עד 17:00 פרט לפריקה וטעינה משעה 17:00 עד 07:00 למחרת אסורה חניה לרכב מעל 4 טון,קיים,סקר יזום,פריקה וטעינה,05/10/2018,07/10/2018,22/12/2022 0:51
#76,1065821,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,15/11/2018,15/05/2019,22/12/2022 0:51
#77,1065840,439,"10 מטר בתוקף  בימים א'-ה' משעה 10:00 עד 14:00 בימי ו' משעה 09:00 עד 12:00 מותרת פריקה וטעינה לכלי רכב המוגדרים ברשיונם ""מסחרי"" , ""משא"" ו""אחוד""  בלבד ביתר השעות והימים  מותרת החניה לכל סוגי הרכב  ",קיים,סקר יזום,פריקה וטעינה,15/11/2018,18/11/2018,22/12/2022 0:51
#78,1065853,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,15/11/2018,18/11/2018,22/12/2022 0:51
#79,1067725,439,"בתוקף במרכז הרחבה פריקה וטעינה רציפה מותרת לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"" ו""אחוד"" בלבד",קיים,סקר יזום,פריקה וטעינה,29/11/2018,02/12/2018,22/12/2022 0:51
#80,1069810,439,פרט לפריקה וטעינה לרכב עד 4 טון בימים א' - ה' משעה 06:00 עד 10:00 ביתר השעות החניה  אסורה לכל סוגי הרכב אזור גרירה,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#81,1069889,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#82,1069895,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,15/05/2019,22/12/2022 0:51
#83,1069908,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/05/2019,22/12/2022 0:51
#84,1069918,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#85,1070067,439,בתוקף בימי חול מ-07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים א'-ה' מ-07:00 עד 14:00 מ-18:00 עד 19:00 בימי ו' מ-07:00 עד 12:30  מ-15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#86,1070080,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,15/05/2019,22/12/2022 0:51
#87,1070084,439,בתוקף בימי חול מ 07:00 עד 19:00 מותרת פריקה וטעינה בלבד בימים  בשעות א'-ה' מ 07:00 עד 14:00  מ 18:00 עד 19:00 ו' מ 07:30 עד 12:30  מ 15:30 עד 17:00,קיים,סקר יזום,פריקה וטעינה,19/12/2018,15/05/2019,22/12/2022 0:51
#88,1070229,439,7 מטר בתוקף בימים א-ה משעה 08:00 עד 17:00 ביום ו' וערבי חג משעה 08:00 עד 13:00 פריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#89,1070830,439,בתוקף  מ 07:30 עד 17:00 פריקה וטעינה  מותרת,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#90,1070864,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' עד ו' משעה 10:00 עד 13:00 רכב חונה בניגוד לחוק יגרר ביתר הימים והשעות החניה אסורה",קיים,סקר יזום,פריקה וטעינה,19/12/2018,15/05/2019,22/12/2022 0:51
#91,1070867,439,"מותרת פריקה וטעינה רציפה לכלי רכב המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' עד ו' משעה 10:00 עד 13:00 רכב חונה בניגוד לחוק יגרר ביתר הימים והשעות החניה אסורה",קיים,סקר יזום,פריקה וטעינה,19/12/2018,15/05/2019,22/12/2022 0:51
#92,1070973,439,"בתוקף 17 מטר  מותרת פריקה וטעינה לכלי רכב  המוגדרים ברשיונם  ""מסחרי"" , ""משא"" ו""אחוד"" בלבד בימים א' - ה' מ 06:00 עד 10:00 רכב חונה בניגוד לחוק יגרר ביתר השעות אסורה החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#93,1070997,439,פרט לפריקה וטעינה לרכב עד 4 טון בימים א' - ה' משעה 06:00 עד 10:00 ביתר השעות החניה אסורה לכל סוגי הרכב אזור גרירה,קיים,סקר יזום,פריקה וטעינה,19/12/2018,22/05/2019,22/12/2022 0:51
#94,1071010,439,פרט לפריקה וטעינה לרכב עד 4 טון בימים א' - ה' משעה 06:00 עד 10:00 ביתר השעות החניה אסורה לכל סוגי הרכב אזור גרירה,קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#95,1071147,439,בתוקף 18 מטר א'-ו' מ- 08:00 עד 15:00 פריקה וטעינה מותרת,קיים,סקר יזום,פריקה וטעינה,19/12/2018,26/12/2018,22/12/2022 0:51
#96,1071180,439,"בתוקף 6 מטר פריקה וטעינה רציפה מותרת לכלי רכב המוגדרים ברישיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד בימים א' עד ה' משעה 09:00 עד 13:00 ו' וערבי חג משעה 09:00 עד 11:00  ביתר השעות והימים החניה  מותרת לכל סוגי הרכב רכב חונה בניגוד לחוק יגרר ",קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
#97,1071528,439,"בתוקף 18 מטר  א'-ה' מ-09:00 עד 17:00 ו' מ-09:00 עד 14:00 מותרת פריקה וטעינה רציפה לכלי רכב עד 4 טון המוגדרים ברשיונם ""משא"", ""מסחרי"", ו""אחוד"" בלבד ביתר הימים השעות מותרת החניה לכל סוגי הרכב ",קיים,סקר יזום,פריקה וטעינה,19/12/2018,20/12/2018,22/12/2022 0:51
